SYEAR,AREA,RNAME,DNAME,VCODE,STYPE,SID,S001,S002,S003,S004,S004t,S004g,S004b,S004V,S004H,S004P,S004I,S004BHV,S004MUL,S004FR,S004FT,S004FHO,S004FO,S006,S006a,S007E,S007P,S008TA,S008TP,S009a,S009b,S009c,S009d,S009e,S009f,S009z,S010a,S010b,S010c,S010d,S010e,S010z,S010T0,S010T15,S010T30,S010T31,S011a,S011b,S011c,S011d,S011e,S011e1,S011f,S011g,S011k,S011m,S011n,S011q,S011n,S011p,S012a,S012b,S012c,S012d,S012e,S012f,S012g,S012h,S012j,S012k,S012L,S012m,SF0,S014,S015,S016,S017,S0181,S0181a,S0182,S0182a,S018PVT1,S018PVT2,S018PVT3,S018PVT4,S018PVT5,S018PVT6,S019a1,S019b1,S019c1,S019d1,S019e1,S019f1,S019g1,S019h1,S019i1,S019j1,S019k1,S019m1,S019n1,S019p1,S019q1,S019r1,S019s1,S019t1,S019a2,S019b2,S019c2,S019d2,S019e2,S019f2,S019g2,S019h2,S019i2,S019j2,S019k2,S019m2,S019n2,S019p2,S019q2,S019r2,S019s2,S019t2
2019,1,BALOCHISTAN,QUETTA,,1,34,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1150,1110,32,32,,,,5,13,13,1,,,5,13,13,,0,,,,19,19,1,1,1,0,0,1,1,1,1,1,1,0,0,,0,,0,0,0,0,0,0,0,0,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,1,35,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,182,171,15,15,,,,2,2,2,,1,,2,2,,,,,,,7,7,1,,1,0,1,0,1,1,1,1,1,0,0,,,,0,,1,,1,,1,,1,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,1,36,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,182,145,10,10,,,,6,3,1,,,,6,3,1,,,2,3,,13,12,1,1,1,0,1,1,0,0,1,0,0,0,0,,0,,1,1,0,0,0,0,0,0,1,-1,9,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,1,37,1,1,1,1,,0,0,0,0,0,0,0,0,0,1,1,0,,,144,144,1,1,,,,,,1,,,,,1,,,,,,,6,5,1,1,1,1,1,1,0,0,1,0,0,1,1,1,,,0,,1,,1,,1,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,1,38,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,152,152,9,9,,,,1,4,3,,,,1,4,3,,,,,,6,6,1,1,1,1,0,0,0,1,1,1,1,1,0,,,,0,,1,,1,,1,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,1,39,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,1,40,3,2,2,1,1,1,0,0,0,1,0,0,0,0,1,0,0,,,495,432,20,20,,,,4,4,7,5,,,4,11,5,,,,,,7,7,1,1,1,0,0,1,0,0,1,1,0,0,0,,0,,1,1,1,1,1,1,1,1,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,1,41,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,196,196,4,4,,,,,2,2,,,,,2,2,,,,,,5,5,0,0,0,0,0,1,0,0,1,0,0,0,1,"3,4",,,1,,1,,1,,1,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,2,42,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,226,226,10,10,,,5,3,2,,,,,,,,,,,,,8,,1,1,1,0,0,0,0,0,1,0,0,0,0,,,,1,,1,,1,,0,,1,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,2,43,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,335,,1,1,,,,,,1,,,,,1,,,,,,,,,0,1,1,1,0,1,0,1,0,1,1,1,0,,0,,0,0,1,1,1,1,1,1,1,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,2,44,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,230,210,1,0,,,,,1,,,,,,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,0,,1,,1,,1,,1,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,2,45,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 - Private,,215,215,1,1,,,,,,1,,,,,1,,,,,,,,,1,1,0,0,1,0,0,0,1,1,0,1,0,,,,0,,,,,,,,4,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,2,46,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,130,130,1,1,,,,,,1,,,,,1,,,,,,,,,1,1,1,0,0,0,0,0,1,0,0,0,0,,,,0,,,,,,,,4,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,2,47,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,150,150,2,2,,,,,,1,,,,,2,,,,,,,8,6,1,0,1,1,0,1,1,1,1,0,1,0,1,3,,,0,,1,,1,,1,,1,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,2,48,1,1,1,1,,0,0,0,0,0,0,0,0,0,1,0,0,,,120,120,1,1,,,,,1,,,,,,1,,,,,,,8,6,1,0,1,1,1,1,0,0,1,1,1,1,0,,,,1,,1,,1,,1,,1,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,2,49,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,365,365,0,0,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0,0,1,0,0,0,0,,,,0,,,,,,,,4,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,2,50,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 - Private,,469,469,,0,,,2,4,4,2,,4,,3,3,1,,,,,,14,12,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,1,0,1,,1,,1,,1,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,2,51,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,165,165,,0,,,2,2,2,,,1,,2,,1,,,,,,,,1,0,1,0,1,1,0,0,0,0,0,1,0,,,,0,,,,,,,,1,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,2,52,2,1,1,1,,0,0,0,1,0,0,0,0,0,1,0,0,,,574,574,1,0,,,,,,,1,,,,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,,0,,0,0,1,0,1,0,1,0,1,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,2,53,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,475,175,1,1,,,,,,1,,,,,1,,,,,,,,,1,1,1,0,1,1,0,1,0,0,0,0,0,,,,0,,1,,1,,1,,1,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,2,54,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1 - Private,,119,82,10,1,,,,1,4,4,,,,,,,,,,,,10,9,1,1,1,0,0,1,1,0,1,1,0,0,0,,,,0,,1,,1,,1,,1,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,2,55,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 - Private,,310,310,1,1,,,,,,,1,,,1,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,0,,0,,0,0,1,1,1,1,1,1,4,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,ISLAMABAD-ICT,ISLAMABAD,,1,56,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,186,170,2,2,,,,,2,,,,,,2,,,1,,,,8,5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,7,1,0,1,1,1,1,1,1,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,ISLAMABAD-ICT,ISLAMABAD,,1,57,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,99,88,5,5,,,,,1,1,,1,,,,2,,,1,,,4,4,1,1,1,1,1,1,0,1,1,1,1,1,1,"3,4",,,1,,1,,1,,1,,1,-1,8,8,,1,180000,1,45500,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,,,,,,,,,,,1,,1,,1,1,,
2019,1,ISLAMABAD-ICT,ISLAMABAD,,1,58,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,641,,10,0,,,,,7,,,,,,,,,,,,,,,1,1,1,1,0,1,0,0,1,1,1,0,1,1,,,1,0,0,,0,,0,,1,,,,,0,,0,,,,,,,,,,1,,1,,,,,,1,1,,,1,,,,,,,,,,,,,,,,1,,1,,1,
2019,1,ISLAMABAD-ICT,ISLAMABAD,,1,59,1,2,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,,,361,339,,0,,,,3,5,4,3,,,,6,4,,,,,,18,15,,,,,,,,,,,,,0,,,,1,,,,1,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,ISLAMABAD-ICT,ISLAMABAD,,1,60,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,152,142,6,6,,,,,1,2,,,,,1,2,,,1,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,1,0,1,,1,,1,,1,-1,7,7,,1,25000,1,32600,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,1,,,1,,
